Trial,Test_Acc,Train_Acc,Overfit_Gap,LR,Batch,D_LSTM,D_FC,LSTM1,Weight_Decay,Epochs,Time_s,Params
1,93.69369369369369,98.01051051051051,4.316816816816825,0.0005,64,0.25,0.35,256,0.01,77,78.40435457229614,1497806
15,93.24324324324324,94.994994994995,1.7517517517517547,0.0005,64,0.35,0.4,384,0.01,67,68.40236568450928,2477518
8,93.09309309309309,97.04704704704704,3.953953953953956,0.001,64,0.3,0.4,384,0.01,94,86.62051463127136,2477518
3,93.04304304304304,93.84384384384384,0.8008008008008005,0.0005,32,0.35,0.4,384,0.01,94,175.53472638130188,2477518
9,92.94294294294295,97.1971971971972,4.254254254254249,0.0005,64,0.3,0.4,256,0.01,80,76.86663746833801,1497806
6,92.04204204204204,96.29629629629629,4.254254254254249,0.0005,64,0.25,0.45,256,0.05,97,85.3457682132721,1497806
5,90.94094094094095,92.91791791791792,1.976976976976971,0.001,64,0.35,0.35,256,0.05,100,85.68750739097595,1497806
17,90.7907907907908,89.7897897897898,-1.0010010010010006,0.001,32,0.3,0.35,256,0.01,95,167.072979927063,1497806
19,90.64064064064064,92.93043043043043,2.2897897897897934,0.002,64,0.3,0.45,384,0.01,96,87.43012118339539,2477518
18,90.34034034034035,90.00250250250251,-0.3378378378378386,0.0005,32,0.25,0.4,256,0.05,88,162.6517632007599,1497806
16,90.1901901901902,88.55105105105105,-1.6391391391391466,0.0005,32,0.3,0.35,256,0.05,93,166.14068388938904,1497806
2,89.48948948948949,87.60010010010011,-1.889389389389379,0.002,32,0.25,0.35,384,0.01,100,179.79888939857483,2477518
11,89.1891891891892,87.17467467467468,-2.0145145145145165,0.002,32,0.3,0.35,256,0.01,100,166.45514225959778,1497806
10,88.73873873873873,85.37287287287288,-3.3658658658658567,0.002,32,0.35,0.4,384,0.01,93,170.78344345092773,2477518
13,88.48848848848849,84.92242242242243,-3.566066066066057,0.001,32,0.3,0.4,256,0.05,98,168.27531814575195,1497806
20,87.98798798798799,82.11961961961961,-5.86836836836838,0.002,32,0.35,0.35,256,0.01,100,165.9959099292755,1497806
14,87.88788788788789,86.82432432432432,-1.0635635635635623,0.002,64,0.35,0.4,256,0.05,99,84.46179175376892,1497806
7,87.78778778778779,83.54604604604604,-4.241741741741748,0.001,32,0.25,0.35,256,0.05,93,165.2699625492096,1497806
4,85.48548548548548,80.08008008008008,-5.4054054054054035,0.001,32,0.25,0.4,384,0.05,93,170.14845871925354,2477518
12,59.109109109109106,48.573573573573576,-10.53553553553553,0.002,32,0.35,0.45,256,0.05,2,19.942851305007935,1497806
